epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7727,0.97153,1.33657,1.08949,0.57125,0.41867,0.45075,0.28225,1.47474,1.68804,1.43987,5.11333e-05,5.11333e-05,5.11333e-05
2,47.4521,0.95652,1.21924,1.06382,0.58835,0.43711,0.44742,0.26684,1.49817,1.67606,1.45987,9.80282e-05,9.80282e-05,9.80282e-05
3,70.5468,0.97936,1.20011,1.0748,0.60162,0.38381,0.44074,0.27388,1.51406,1.77658,1.42132,0.000139775,0.000139775,0.000139775
4,92.5867,1.00217,1.25961,1.0936,0.66553,0.38801,0.43388,0.26203,1.5268,1.78141,1.47864,0.000132834,0.000132834,0.000132834
5,114.815,0.98622,1.21896,1.08731,0.56321,0.41802,0.4505,0.28684,1.47618,1.7085,1.44965,0.000125112,0.000125112,0.000125112
6,137.302,0.96462,1.22047,1.08301,0.63385,0.42271,0.46223,0.28482,1.46652,1.59923,1.43996,0.00011739,0.00011739,0.00011739
7,161.14,0.96122,1.23186,1.07787,0.64093,0.36817,0.44879,0.28017,1.52241,1.75108,1.41481,0.000109668,0.000109668,0.000109668
8,183.512,0.97985,1.24288,1.08645,0.52573,0.4286,0.42853,0.25801,1.54734,1.77068,1.45499,0.000101946,0.000101946,0.000101946
9,206.072,0.93927,1.20827,1.06861,0.55265,0.42734,0.438,0.27079,1.46639,1.6855,1.42256,9.4224e-05,9.4224e-05,9.4224e-05
10,230.249,0.93395,1.1699,1.06459,0.61966,0.3601,0.42724,0.25813,1.55801,1.76974,1.4716,8.6502e-05,8.6502e-05,8.6502e-05
11,254.05,0.79262,0.92016,1.02236,0.57137,0.44369,0.45785,0.28498,1.47465,1.68717,1.45191,7.878e-05,7.878e-05,7.878e-05
12,277.348,0.82418,0.91189,1.03633,0.5678,0.40454,0.43708,0.26581,1.46811,1.68567,1.44836,7.1058e-05,7.1058e-05,7.1058e-05
13,297.326,0.83229,0.89393,1.03,0.57505,0.42138,0.4584,0.28727,1.46815,1.69423,1.4129,6.3336e-05,6.3336e-05,6.3336e-05
14,319.979,0.80135,0.87673,1.02311,0.60929,0.42392,0.46839,0.29048,1.46086,1.64871,1.4673,5.5614e-05,5.5614e-05,5.5614e-05
15,341.424,0.75373,0.98711,0.99552,0.56522,0.4201,0.45821,0.28468,1.46299,1.63911,1.42853,4.7892e-05,4.7892e-05,4.7892e-05
16,364.505,0.78232,0.88828,1.00552,0.53551,0.42583,0.45071,0.28041,1.46671,1.67721,1.42867,4.017e-05,4.017e-05,4.017e-05
17,385.715,0.77935,0.87633,1.01955,0.59965,0.455,0.46658,0.29245,1.46328,1.62577,1.46408,3.2448e-05,3.2448e-05,3.2448e-05
18,408.278,0.80343,0.89146,1.02489,0.53764,0.47265,0.47488,0.30122,1.4554,1.62303,1.41697,2.4726e-05,2.4726e-05,2.4726e-05
19,430.321,0.82904,0.90248,1.03915,0.59291,0.43036,0.47009,0.29883,1.45381,1.61442,1.43092,1.7004e-05,1.7004e-05,1.7004e-05
20,451.777,0.8267,0.91844,1.05433,0.58261,0.44083,0.47017,0.29706,1.44628,1.60302,1.4183,9.282e-06,9.282e-06,9.282e-06
